	...1	...2	0	...4	...5	546 Bottles	Location	Producer	Nomen	Varrietal(s)	Vintage	Type	Notes
1811	NA	NA	1811	63	14	3	1721	NA	NA	NA	22	NA	162
1812	NA	NA	1812	63	15	2	1722	NA	NA	NA	22	NA	162
1813	NA	NA	1813	63	15	3	1723	NA	NA	NA	22	NA	162
1814	NA	NA	1814	63	16	2	1724	NA	NA	NA	22	NA	162
1815	NA	NA	1815	63	16	3	1725	NA	NA	NA	22	NA	162
1816	NA	NA	1816	63	17	2	1726	NA	NA	NA	22	NA	162
1817	NA	NA	1817	63	17	3	1727	NA	NA	NA	22	NA	162
1818	NA	NA	1818	63	18	2	1728	NA	NA	NA	22	NA	162
1819	NA	NA	1819	63	18	3	1729	NA	NA	NA	22	NA	162
1820	NA	NA	1820	63	19	2	1730	NA	NA	NA	22	NA	162
1821	NA	NA	1821	63	19	3	1731	NA	NA	NA	22	NA	162
1822	NA	NA	1822	63	20	2	1732	NA	NA	NA	22	NA	162
1823	NA	NA	1823	63	20	3	1733	NA	NA	NA	22	NA	162
1824	NA	NA	1824	64	1	2	1734	NA	NA	NA	22	NA	162
1825	NA	NA	1825	64	2	2	1735	NA	NA	NA	22	NA	162
1826	NA	NA	1826	64	3	2	1736	NA	NA	NA	22	NA	162
1827	NA	NA	1827	64	4	2	1737	NA	NA	NA	22	NA	162
1828	NA	NA	1828	64	5	2	1738	NA	NA	NA	22	NA	162
1829	NA	NA	1829	64	6	2	1739	NA	NA	NA	22	NA	162
1830	NA	NA	1830	64	7	2	1740	NA	NA	NA	22	NA	162
1831	NA	NA	1831	64	8	2	1741	NA	NA	NA	22	NA	162
1832	NA	NA	1832	64	9	2	1742	NA	NA	NA	22	NA	162
1833	NA	NA	1833	64	10	2	1743	NA	NA	NA	22	NA	162
1834	NA	NA	1834	64	11	2	1744	NA	NA	NA	22	NA	162
1835	NA	NA	1835	64	12	2	1745	NA	NA	NA	22	NA	162
1836	NA	NA	1836	64	13	2	1746	NA	NA	NA	22	NA	162
1837	NA	NA	1837	64	13	3	1747	NA	NA	NA	22	NA	162
1838	NA	NA	1838	64	14	2	1748	NA	NA	NA	22	NA	162
1839	NA	NA	1839	64	14	3	1749	NA	NA	NA	22	NA	162
1840	NA	NA	1840	64	15	2	1750	NA	NA	NA	22	NA	162
1841	NA	NA	1841	64	15	3	1751	NA	NA	NA	22	NA	162
1842	NA	NA	1842	64	16	2	1752	NA	NA	NA	22	NA	162
1843	NA	NA	1843	64	16	3	1753	NA	NA	NA	22	NA	162
1844	NA	NA	1844	64	17	2	1754	NA	NA	NA	22	NA	162
1845	NA	NA	1845	64	17	3	1755	NA	NA	NA	22	NA	162
1846	NA	NA	1846	64	18	2	1756	NA	NA	NA	22	NA	162
1847	NA	NA	1847	64	18	3	1757	NA	NA	NA	22	NA	162
1848	NA	NA	1848	64	19	2	1758	NA	NA	NA	22	NA	162
1849	NA	NA	1849	64	19	3	1759	NA	NA	NA	22	NA	162
1850	NA	NA	1850	64	20	2	1760	NA	NA	NA	22	NA	162
1851	NA	NA	1851	64	20	3	1761	NA	NA	NA	22	NA	162
1852	NA	NA	1852	65	1	2	1762	NA	NA	NA	22	NA	162
1853	NA	NA	1853	65	2	2	1763	NA	NA	NA	22	NA	162
1854	NA	NA	1854	65	3	2	1764	NA	NA	NA	22	NA	162
1855	NA	NA	1855	65	4	2	1765	NA	NA	NA	22	NA	162
1856	NA	NA	1856	65	5	2	1766	NA	NA	NA	22	NA	162
1857	NA	NA	1857	65	6	2	1767	NA	NA	NA	22	NA	162
1858	NA	NA	1858	65	7	2	1768	NA	NA	NA	22	NA	162
1859	NA	NA	1859	65	8	2	1769	NA	NA	NA	22	NA	162
1860	NA	NA	1860	65	9	2	1770	NA	NA	NA	22	NA	162
1861	NA	NA	1861	65	10	2	1771	NA	NA	NA	22	NA	162
1862	NA	NA	1862	65	11	2	1772	NA	NA	NA	22	NA	162
1863	NA	NA	1863	65	12	2	1773	NA	NA	NA	22	NA	162
1864	NA	NA	1864	65	13	2	1774	NA	NA	NA	22	NA	162
1865	NA	NA	1865	65	13	3	1775	NA	NA	NA	22	NA	162
1866	NA	NA	1866	65	14	2	1776	NA	NA	NA	22	NA	162
1867	NA	NA	1867	65	14	3	1777	NA	NA	NA	22	NA	162
1868	NA	NA	1868	65	15	2	1778	NA	NA	NA	22	NA	162
1869	NA	NA	1869	65	15	3	1779	NA	NA	NA	22	NA	162
1870	NA	NA	1870	65	16	2	1780	NA	NA	NA	22	NA	162
1871	NA	NA	1871	65	16	3	1781	NA	NA	NA	22	NA	162
1872	NA	NA	1872	65	17	2	1782	NA	NA	NA	22	NA	162
1873	NA	NA	1873	65	17	3	1783	NA	NA	NA	22	NA	162
1874	NA	NA	1874	65	18	2	1784	NA	NA	NA	22	NA	162
1875	NA	NA	1875	65	18	3	1785	NA	NA	NA	22	NA	162
1876	NA	NA	1876	65	19	2	1786	NA	NA	NA	22	NA	162
1877	NA	NA	1877	65	19	3	1787	NA	NA	NA	22	NA	162
1878	NA	NA	1878	65	20	2	1788	NA	NA	NA	22	NA	162
1879	NA	NA	1879	65	20	3	1789	NA	NA	NA	22	NA	162
1880	NA	NA	1880	66	1	2	1790	NA	NA	NA	22	NA	162
1881	NA	NA	1881	66	2	2	1791	NA	NA	NA	22	NA	162
1882	NA	NA	1882	66	3	2	1792	NA	NA	NA	22	NA	162
1883	NA	NA	1883	66	4	2	1793	NA	NA	NA	22	NA	162
1884	NA	NA	1884	66	5	2	1794	NA	NA	NA	22	NA	162
1885	NA	NA	1885	66	6	2	1795	NA	NA	NA	22	NA	162
1886	NA	NA	1886	66	7	2	1796	NA	NA	NA	22	NA	162
1887	NA	NA	1887	66	8	2	1797	NA	NA	NA	22	NA	162
1888	NA	NA	1888	66	9	2	1798	NA	NA	NA	22	NA	162
1889	NA	NA	1889	66	10	2	1799	NA	NA	NA	22	NA	162
1890	NA	NA	1890	66	11	2	1800	NA	NA	NA	22	NA	162
1891	NA	NA	1891	66	12	2	1801	NA	NA	NA	22	NA	162
1892	NA	NA	1892	66	13	2	1802	NA	NA	NA	22	NA	162
1893	NA	NA	1893	66	13	3	1803	NA	NA	NA	22	NA	162
1894	NA	NA	1894	66	14	2	1804	NA	NA	NA	22	NA	162
1895	NA	NA	1895	66	14	3	1805	NA	NA	NA	22	NA	162
1896	NA	NA	1896	66	15	2	1806	NA	NA	NA	22	NA	162
1897	NA	NA	1897	66	15	3	1807	NA	NA	NA	22	NA	162
1898	NA	NA	1898	66	16	2	1808	NA	NA	NA	22	NA	162
1899	NA	NA	1899	66	16	3	1809	NA	NA	NA	22	NA	162
1900	NA	NA	1900	66	17	2	1810	NA	NA	NA	22	NA	162
1901	NA	NA	1901	66	17	3	1811	NA	NA	NA	22	NA	162
1902	NA	NA	1902	66	18	2	1812	NA	NA	NA	22	NA	162
1903	NA	NA	1903	66	18	3	1813	NA	NA	NA	22	NA	162
1904	NA	NA	1904	66	19	2	1814	NA	NA	NA	22	NA	162
1905	NA	NA	1905	66	19	3	1815	NA	NA	NA	22	NA	162
1906	NA	NA	1906	66	20	2	1816	NA	NA	NA	22	NA	162
1907	NA	NA	1907	66	20	3	1817	NA	NA	NA	22	NA	162
1908	NA	NA	1908	67	1	2	1818	NA	NA	NA	22	NA	162
1909	NA	NA	1909	67	2	2	1819	NA	NA	NA	22	NA	162
1910	NA	NA	1910	67	3	2	1820	NA	NA	NA	22	NA	162
1911	NA	NA	1911	67	4	2	1821	NA	NA	NA	22	NA	162
1912	NA	NA	1912	67	5	2	1822	NA	NA	NA	22	NA	162
1913	NA	NA	1913	67	6	2	1823	NA	NA	NA	22	NA	162
1914	NA	NA	1914	67	7	2	1824	NA	NA	NA	22	NA	162
1915	NA	NA	1915	67	8	2	1825	NA	NA	NA	22	NA	162
1916	NA	NA	1916	67	9	2	1826	NA	NA	NA	22	NA	162
1917	NA	NA	1917	67	10	2	1827	NA	NA	NA	22	NA	162
1918	NA	NA	1918	67	11	2	1828	NA	NA	NA	22	NA	162
1919	NA	NA	1919	67	12	2	1829	NA	NA	NA	22	NA	162
1920	NA	NA	1920	67	13	2	1830	NA	NA	NA	22	NA	162
1921	NA	NA	1921	67	13	3	1831	NA	NA	NA	22	NA	162
1922	NA	NA	1922	67	14	2	1832	NA	NA	NA	22	NA	162
1923	NA	NA	1923	67	14	3	1833	NA	NA	NA	22	NA	162
1924	NA	NA	1924	67	15	2	1834	NA	NA	NA	22	NA	162
1925	NA	NA	1925	67	15	3	1835	NA	NA	NA	22	NA	162
1926	NA	NA	1926	67	16	2	1836	NA	NA	NA	22	NA	162
1927	NA	NA	1927	67	16	3	1837	NA	NA	NA	22	NA	162
1928	NA	NA	1928	67	17	2	1838	NA	NA	NA	22	NA	162
1929	NA	NA	1929	67	17	3	1839	NA	NA	NA	22	NA	162
1930	NA	NA	1930	67	18	2	1840	NA	NA	NA	22	NA	162
1931	NA	NA	1931	67	18	3	1841	NA	NA	NA	22	NA	162
1932	NA	NA	1932	67	19	2	1842	NA	NA	NA	22	NA	162
1933	NA	NA	1933	67	19	3	1843	NA	NA	NA	22	NA	162
1934	NA	NA	1934	67	20	2	1844	NA	NA	NA	22	NA	162
1935	NA	NA	1935	67	20	3	1845	NA	NA	NA	22	NA	162
1936	NA	NA	1936	68	1	2	1846	NA	NA	NA	22	NA	162
1937	NA	NA	1937	68	2	2	1847	NA	NA	NA	22	NA	162
1938	NA	NA	1938	68	3	2	1848	NA	NA	NA	22	NA	162
1939	NA	NA	1939	68	4	2	1849	NA	NA	NA	22	NA	162
1940	NA	NA	1940	68	5	2	1850	NA	NA	NA	22	NA	162
1941	NA	NA	1941	68	6	2	1851	NA	NA	NA	22	NA	162
1942	NA	NA	1942	68	7	2	1852	NA	NA	NA	22	NA	162
1943	NA	NA	1943	68	8	2	1853	NA	NA	NA	22	NA	162
1944	NA	NA	1944	68	9	2	1854	NA	NA	NA	22	NA	162
1945	NA	NA	1945	68	10	2	1855	NA	NA	NA	22	NA	162
1946	NA	NA	1946	68	11	2	1856	NA	NA	NA	22	NA	162
1947	NA	NA	1947	68	12	2	1857	NA	NA	NA	22	NA	162
1948	NA	NA	1948	68	13	2	1858	NA	NA	NA	22	NA	162
1949	NA	NA	1949	68	13	3	1859	NA	NA	NA	22	NA	162
1950	NA	NA	1950	68	14	2	1860	NA	NA	NA	22	NA	162
1951	NA	NA	1951	68	14	3	1861	NA	NA	NA	22	NA	162
1952	NA	NA	1952	68	15	2	1862	NA	NA	NA	22	NA	162
1953	NA	NA	1953	68	15	3	1863	NA	NA	NA	22	NA	162
1954	NA	NA	1954	68	16	2	1864	NA	NA	NA	22	NA	162
1955	NA	NA	1955	68	16	3	1865	NA	NA	NA	22	NA	162
1956	NA	NA	1956	68	17	2	1866	NA	NA	NA	22	NA	162
1957	NA	NA	1957	68	17	3	1867	NA	NA	NA	22	NA	162
1958	NA	NA	1958	68	18	2	1868	NA	NA	NA	22	NA	162
1959	NA	NA	1959	68	18	3	1869	NA	NA	NA	22	NA	162
1960	NA	NA	1960	68	19	2	1870	NA	NA	NA	22	NA	162
1961	NA	NA	1961	68	19	3	1871	NA	NA	NA	22	NA	162
1962	NA	NA	1962	68	20	2	1872	NA	NA	NA	22	NA	162
1963	NA	NA	1963	68	20	3	1873	NA	NA	NA	22	NA	162
